,train_data,train_result,train_result_smooth
29,4.46000003815,4.90660333633,4.92736231486
30,4.71999979019,4.83584833145,4.91956106822
31,5.25,5.19194173813,4.9274986585
32,4.73000001907,4.49051189423,4.91721653938
33,5.21999979019,4.9603061676,4.92392166456
34,5.01000022888,5.15622711182,4.9334206899
35,5.17000007629,5.16375589371,4.96502076785
36,5.15000009537,4.90682268143,4.96552011172
37,5.19999980927,4.96196699142,4.95633177757
38,5.15000009537,5.23521184921,4.94753066699
39,5.15999984741,4.79896450043,4.944602712
40,5.21999979019,5.2492480278,4.96110051473
41,4.98999977112,4.59065294266,4.95100914637
42,4.96999979019,4.94815063477,4.94635500908
43,5.05999994278,5.07231092453,4.95478431384
44,5.01000022888,5.34956693649,4.99135856628
45,4.92999982834,4.76356744766,4.99138615926
46,4.92999982834,5.06909704208,4.99692002932
47,4.96999979019,4.99689483643,5.01167756716
48,5.03000020981,5.00303268433,5.01521175702
49,5.01000022888,5.04455518723,5.00729956627
50,4.96999979019,4.88867330551,4.99534993172
51,4.90000009537,4.88551092148,4.97901848157
52,4.90000009537,5.09638881683,4.99120798111
53,4.88999986649,5.03546142578,5.01008561452
54,4.92000007629,4.8690533638,5.00909409523
55,4.90000009537,4.95001029968,4.99932325681
56,4.94000005722,4.96707868576,4.98866295815
57,4.80999994278,4.80184268951,4.97894492149
58,4.88000011444,4.70774126053,4.96323326429
59,4.88000011444,5.02187490463,4.9670756499
60,4.82999992371,4.85325098038,4.96765573819
61,4.82999992371,4.42772340775,4.94218179385
62,4.76000022888,4.48552513123,4.94201556842
63,4.84000015259,4.02463293076,4.91082646052
64,4.82999992371,4.45222616196,4.88735976219
65,4.84999990463,4.27984046936,4.85789591471
66,4.65999984741,4.46802806854,4.84326942762
67,4.78999996185,4.89722394943,4.84111132622
68,4.71000003815,5.08827829361,4.83621354103
69,4.61000013351,4.81394720078,4.83671296438
70,4.82999992371,5.02448034286,4.82922070821
71,4.71999979019,4.60857963562,4.82981826464
72,4.71999979019,4.66231393814,4.82029037476
73,4.67000007629,4.18261384964,4.79063380559
74,4.76000022888,5.00701522827,4.77921541532
75,4.73000001907,4.9204788208,4.78444579442
76,4.73000001907,4.12017440796,4.75281503995
77,4.63999986649,4.00271129608,4.71967558861
78,4.63999986649,4.65120363235,4.70794795354
79,4.61999988556,4.99858188629,4.70641551018
80,4.59999990463,4.94896364212,4.70842518806
81,4.55999994278,4.68064069748,4.7015961806
82,4.57000017166,4.51073884964,4.68207451502
83,4.46000003815,4.70820140839,4.67116584778
84,4.42999982834,4.72920846939,4.6665043513
85,4.40000009537,4.62226438522,4.65557948748
86,4.42999982834,4.74658918381,4.64822983742
87,4.53000020981,4.68768262863,4.64442450205
88,4.46000003815,4.11249351501,4.62458291054
89,4.46000003815,4.71423435211,4.61432822545
90,4.38000011444,4.68130350113,4.60859664281
91,4.34000015259,4.62541389465,4.61518632571
92,4.15999984741,4.72266530991,4.62309099833
93,4.11999988556,4.42553663254,4.63645445506
94,4.26999998093,4.67928218842,4.64402298927
95,4.11000013351,4.37353897095,4.64714627266
96,4.11000013351,4.15683794022,4.63677326838
97,4.15999984741,4.18849563599,4.61314899127
98,4.07999992371,4.21507692337,4.58404227893
99,4.09000015259,4.06958436966,4.55923018456
100,4.15999984741,4.20573329926,4.53193861643
101,4.01999998093,4.11607980728,4.51552195549
102,4.07000017166,4.1463303566,4.49832250277
103,4.03000020981,4.038230896,4.49350973765
104,4.03999996185,4.03955936432,4.46126120885
105,3.97000002861,4.00038480759,4.43059140841
106,3.98000001907,4.00541591644,4.42676612536
107,4.05000019073,3.92170381546,4.42406587601
108,4.0,4.13221502304,4.4067662557
